text,label,notes
"nobody take this in any way but bear looks exactly like if dave franco and charlie kirk had a baby",low_effort_quip
"the audacity of bear to ask ""what's so bad about being with me?"" after putting nikki through every circle of hell imaginable",personal_reaction
"Awesome movie about how rapists should kill themselves",personal_reaction
"when she started moving like a stop motion character I nearly shit myself",personal_reaction
"men will literally do anything but confess their feelings",low_effort_quip
"even in death, an insecure man will still be the most selfish person in the room",personal_reaction
"As a film lover, I was thrilled. As a cat lover, things were harder.",personal_reaction
"""Kiss the person to the left"" ☹️",low_effort_quip
"one man has a crush and makes it everyone's problem",low_effort_quip
"I'm suddenly very ok with being single",personal_reaction
"""man or bear"" well…",low_effort_quip
"What hit me most about Obsession is that a day later, I still cannot stop thinking about it. And I think that's because the film is operating on a much smarter level than its premise initially suggests. This is the kind of setup that could have gone wrong in so many obvious ways. It could have become broad ""hashtag cinema,"" where the creepy possessive guy simply learns a lesson about toxic masculinity. It also could have accidentally drifted into ugly territory where the film frames the woman as somehow deserving punishment for ""friend-zoning"" him, as if she had been manipulating his feelings all along. But what's fascinating is that the movie avoids both traps almost entirely. This film works because of how emotionally complicated the relationships actually are. When he makes the wish, the realization slowly creeps in that he probably never needed to make it in the first place. The film subtly suggests that there may have already been a real path toward intimacy between them if he had simply been direct, vulnerable, and emotionally honest. Instead, what he wants is a shortcut. That's what the wish really represents. It's not the creation of love, but the desire to bypass the difficult, awkward, human process of earning closeness naturally. That idea feels deeply connected to modern dating culture. So much of contemporary romance now revolves around avoiding vulnerability altogether. Instead of slowly getting to know someone, people jump immediately toward manipulation, performance, sexual escalation, or emotional pressure. The film understands that impulse in a way that feels painfully current. He doesn't use the wish because he has no path toward connection. He uses it because he is unwilling to risk the uncertainty and discomfort that real connection requires. What makes this even more interesting is that their friendship before everything collapses is actually good. There is real affection between them. The movie never portrays her as somebody cynically keeping him around for validation while waiting for a ""better"" guy. Their relationship has warmth, humor, and genuine intimacy already built into it. Which is why the horror of the film becomes larger than simply ""obsession."" The tragedy is that he destroys something meaningful because he cannot accept allowing it to evolve naturally. And that's why the film has just dug into my mind and won't let go. Underneath all the supernatural insanity, the film is really about what happens when people try to force relationships into forms they were never meant to take. Once coercion enters the equation, even subtly, people stop becoming authentic versions of themselves. The relationship itself becomes poisoned. The film understands that emotional manipulation exists far beyond magic wishes or horror-movie extremes. There are countless real-world ways people pressure, corner, guilt, or psychologically steer relationships into existence, and the movie taps into that discomfort without ever reducing itself to a simple moral lecture. This is why Obsession feels more mature than it has any right to. It understands something many films ignore: sometimes a truly meaningful friendship is already a profound form of love. And sometimes the inability to recognize that can destroy the very thing you were trying to hold onto in the first place.",cinematic_critique
"inde navarrette…bitch ur bout to blow up",low_effort_quip
"People who can dry swallow pills are demonic",low_effort_quip
"Further proof that when a guy gets friend zoned it's actually the girl that suffers most",personal_reaction
"obsession is such a cute word for whatever the hell that was",low_effort_quip
"Crazy scary incest monologue = instant classic",cinematic_critique
"Male loneliness final boss",low_effort_quip
"jesus christ if you ain't gonna play just pass the fucking controller",low_effort_quip
"if i had only one wish, i'd use it to stop seeing charlie kirk's face every time i look at that guy",low_effort_quip
"absolutely nothing can prepare you for inde navarrette's performance",cinematic_critique
"So much to love here, but I think I appreciate so much that the tension that suffocates almost every minute of the movie isnt found in lazy parlor tricks that modern horror has grown to rely on, but rather it's rooted in the fundamentals. Tightly edited, effective lighting, playful blocking, patient storytelling. Also, it helps a lot that Inde Navarrette is giving a career defining performance, immediate inductee into the horror hall of fame.",cinematic_critique
